linea;pagina;referencia;descripcion;cantidad;unidad;ubicacion;bodega;origen
1;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;89;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
2;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;89;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
3;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;89;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
4;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;89;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
5;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;85;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
6;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;85;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
7;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;85;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
8;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;85;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
9;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;84;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
10;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;84;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
11;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;84;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
12;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;84;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
13;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;80;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
14;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;80;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
15;1;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;80;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
16;2;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;80;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
17;2;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;76;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
18;2;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;76;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
19;2;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;76;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
20;2;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;76;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
21;2;2395013;C. AL S8000 LSHF # 1/0 AWG 90°C 600V CT NEGRO C2000;69;M;D10707;PARQUE INDUSTRIAL;PDF convertido a CSV V205
